Date,TotalDailyEnergy_GWh,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
12/07/2018,72.907,0,0,0,0
13/07/2018,72.284,0,0,0,0
14/07/2018,56.759,0,0,0,0
15/07/2018,65.009,0,0,0,0
16/07/2018,71.611,0,0,0,0
17/07/2018,70.331,0,0,0,0
18/07/2018,70.402,0,0,0,0
19/07/2018,69.267,0,0,0,0
20/07/2018,70.08,0,0,0,0
21/07/2018,61.058,0,0,0,0
22/07/2018,66.111,0,0,0,0
23/07/2018,73.613,0,0,0,0
24/07/2018,70.502,0,0,0,0
25/07/2018,72.369,0,0,0,0
26/07/2018,73.623,0,0,0,0
27/07/2018,68.541,0,0,0,0
28/07/2018,57.054,0,0,0,0
29/07/2018,57.475,0,0,0,0
30/07/2018,69.298,0,0,0,0
31/07/2018,70.613,0,0,0,0
01/08/2018,73.23,0,0,0,0
02/08/2018,75.631,0,0,0,0
03/08/2018,71.271,0,0,0,0
04/08/2018,61.899,0,0,0,0
05/08/2018,60.278,0,0,0,0
06/08/2018,61.647,0,0,0,0
07/08/2018,64.827,0,0,0,0
08/08/2018,67.35,0,0,0,0
09/08/2018,66.926,0,0,0,0
10/08/2018,67.104,0,0,0,0
11/08/2018,61.655,0,0,0,0
12/08/2018,61.803,0,0,0,0
13/08/2018,69.009,0,0,0,0
14/08/2018,71.46,0,0,0,0
15/08/2018,73.14,0,0,0,0
16/08/2018,68.312,0,0,0,0
17/08/2018,67.572,0,0,0,0
18/08/2018,57.062,0,0,0,0
19/08/2018,62.405,0,0,0,0
20/08/2018,69.03,0,0,0,0
21/08/2018,73.782,0,0,0,0
22/08/2018,70.68,0,0,0,0
23/08/2018,69.713,0,0,0,0
24/08/2018,66.251,0,0,0,0
25/08/2018,59.62,0,0,0,0
26/08/2018,59.245,0,0,0,0
27/08/2018,66.645,0,0,0,0
28/08/2018,68.523,0,0,0,0
29/08/2018,67.58,0,0,0,0
30/08/2018,68.49,0,0,0,0
31/08/2018,68.521,0,0,0,0
01/09/2018,63.286,0,0,0,0
02/09/2018,60.619,0,0,0,0
03/09/2018,66.886,0,0,0,0
04/09/2018,67.326,0,0,0,0
05/09/2018,67.903,0,0,0,0
06/09/2018,68.086,0,0,0,0
07/09/2018,67.42,0,0,0,0
08/09/2018,60.191,0,0,0,0
09/09/2018,58.249,0,0,0,0
10/09/2018,68.585,0,0,0,0
11/09/2018,68.455,0,0,0,0
12/09/2018,68.016,0,0,0,0
13/09/2018,68.178,0,0,0,0
14/09/2018,67.517,0,0,0,0
15/09/2018,52.779,0,0,0,0
16/09/2018,58.866,0,0,0,0
17/09/2018,71.361,0,0,0,0
18/09/2018,69.863,0,0,0,0
19/09/2018,67.495,0,0,0,0
20/09/2018,67.804,0,0,0,0
21/09/2018,66.497,0,0,0,0
22/09/2018,58.187,0,0,0,0
23/09/2018,57.874,0,0,0,0
24/09/2018,67.096,0,0,0,0
25/09/2018,69.357,0,0,0,0
26/09/2018,72.021,0,0,0,0
27/09/2018,67.064,0,0,0,0
28/09/2018,66.011,0,0,0,0
29/09/2018,58.73,0,0,0,0
30/09/2018,57.286,0,0,0,0
01/10/2018,67.21,0,0,0,0
02/10/2018,68.954,0,0,0,0
03/10/2018,68.713,0,0,0,0
04/10/2018,69.442,0,0,0,0
05/10/2018,66.843,0,0,0,0
06/10/2018,57.726,0,0,0,0
07/10/2018,58.823,0,0,0,0
08/10/2018,68.629,0,0,0,0
09/10/2018,70.537,0,0,0,0
10/10/2018,71.142,0,0,0,0
11/10/2018,68.997,0,0,0,0
12/10/2018,71.716,0,0,0,0
13/10/2018,53.417,0,0,0,0
14/10/2018,60.932,0,0,0,0
15/10/2018,70.827,0,0,0,0
16/10/2018,69.552,0,0,0,0
17/10/2018,67.33,0,0,0,0
18/10/2018,68.276,0,0,0,0
19/10/2018,66.761,0,0,0,0
20/10/2018,60.873,0,0,0,0
21/10/2018,58.892,0,0,0,0
22/10/2018,67.798,0,0,0,0
23/10/2018,68.776,0,0,0,0
24/10/2018,68.492,0,0,0,0
25/10/2018,68.582,0,0,0,0
26/10/2018,67.003,0,0,0,0
27/10/2018,60.223,0,0,0,0
28/10/2018,59.883,0,0,0,0
29/10/2018,60.212,0,0,0,0
30/10/2018,68.465,0,0,0,0
31/10/2018,69.055,0,0,0,0
01/11/2018,68.78,0,0,0,0
02/11/2018,69.041,0,0,0,0
03/11/2018,60.254,0,0,0,0
04/11/2018,58.662,0,0,0,0
05/11/2018,67.722,0,0,0,0
06/11/2018,68.599,0,0,0,0
07/11/2018,69.817,0,0,0,0
08/11/2018,69.545,0,0,0,0
09/11/2018,69.03,0,0,0,0
10/11/2018,59.293,0,0,0,0
11/11/2018,59.162,0,0,0,0
12/11/2018,69.007,0,0,0,0
13/11/2018,70.113,0,0,0,0
14/11/2018,71.101,0,0,0,0
15/11/2018,70.409,0,0,0,0
16/11/2018,69.133,0,0,0,0
17/11/2018,44.649,0,0,0,0
18/11/2018,59.09,0,0,0,0
19/11/2018,69.191,0,0,0,0
20/11/2018,68.84,0,0,0,0
21/11/2018,71.16,0,0,0,0
22/11/2018,71.108,0,0,0,0
23/11/2018,69.737,0,0,0,0
24/11/2018,63.082,0,0,0,0
25/11/2018,61.116,0,0,0,0
26/11/2018,70.454,0,0,0,0
27/11/2018,70.316,0,0,0,0
28/11/2018,70.905,0,0,0,0
29/11/2018,68.863,0,0,0,0
30/11/2018,69.068,0,0,0,0
01/12/2018,60.481,0,0,0,0
02/12/2018,60.555,0,0,0,0
03/12/2018,69.642,0,0,0,0
04/12/2018,72.878,0,0,0,0
05/12/2018,71.506,0,0,0,0
06/12/2018,69.502,0,0,0,0
